Name,ADDRESS,Phone,MEDICARE PROVIDER ID,NATIONAL PROVIDER ID (NPI),WEBSITE,PROVIDER TYPE,OWNERSHIP,BEDS,HEALTH SYSTEM AFFILIATION
AdventHealth DeLand,"701 West Plymouth Avenue, Deland, FL, 32720",(386) 943-4772,100045,1649367269,https://www.adventhealth.com/hospital/adventhealth-deland,Acute Care Hospitals,Voluntary non-profit - Church,164,/health_systems/adventist-health-system/
Abrazo Scottsdale Campus,"3929 East Bell Road, Phoenix, AZ, 85032",(602) 923-5000,30083,1326022732,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus,Acute Care Hospitals,Proprietary,136,/health_systems/tenet-healthcare-corporation/
AdventHealth Sebring,"4200 Sun'n Lake Boulevard, Sebring, FL, 33872",(863) 314-4466,100109,1083692594,https://www.adventhealth.com/hospital/adventhealth-sebring,Acute Care Hospitals,Voluntary non-profit - Church,204,/health_systems/adventist-health-system/
AdventHealth Dade City,"13100 Fort King Road, Dade City, FL, 33525",(352) 568-3174,100211,1215444054,https://www.adventhealth.com/hospital/adventhealth-dade-city,Acute Care Hospitals,Proprietary,120,/health_systems/adventist-health-system/
AdventHealth Palm Coast,"60 Memorial Medical Parkway, Palm Coast, FL, 32164",(386) 586-2000,100118,1679678486,No link,Acute Care Hospitals,Voluntary non-profit - Church,99,/health_systems/adventist-health-system/
ACMH Hospital,"One Nolte Drive, Kittanning, PA, 16201",(724) 543-8500,390163,1568577724,http://www.acmh.org/,Acute Care Hospitals,Voluntary non-profit - Private,154,/health_systems/armstrong-county-memorial-hospital/
ACMH Hospital,"One Nolte Drive, Kittanning, PA, 16201",(724) 543-8500,390163,1568577724,http://www.acmh.org/,Acute Care Hospitals,Voluntary non-profit - Private,154,/health_systems/armstrong-county-memorial-hospital/
Baptist Health Medical Center Arkadelphia,"3050 Twin Rivers Dr, Arkadelphia, AR, 71923",None,047326,,/health_systems/baptist-health/,,,,https://www.baptist-health.com/location/baptist-health-medical-center-arkadelphia/
Baptist Health Medical Center Arkadelphia,"3050 Twin Rivers Dr, Arkadelphia, AR, 71923",None,047326,,https://www.baptist-health.com/location/baptist-health-medical-center-arkadelphia/,,,,/health_systems/baptist-health/
Wamego Hospital Association,"711 Genn Drive, Wamego, KS, 66547",(785) 456-2295,171337,,https://npidb.org/organizations/hospitals/critical-access_282nc0060x/1447599774.aspx,Critical Access Hospitals,Voluntary non-profit - Other,25,/health_systems/ascension-health/
Abbott Northwestern Hospital,"800 East 28th Street, Minneapolis, MN, 55407",(612) 863-4457,240057,1760446256,https://www.allinahealth.org/Abbott-Northwestern-Hospital/,Acute Care Hospitals,Voluntary non-profit - Private,996,/health_systems/allina-health-system/
